participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,1,1,1,air,T.bmp,match,air,T.bmp,m,4535.746000000017,1
207844,1,1,2,air,T.bmp,mismatch,air,S.bmp,m,366.3683999998284,0
207844,1,1,3,air,T.bmp,mismatch,air,C.bmp,m,231.2077000001409,0
207844,1,1,4,air,T.bmp,match,air,T.bmp,m,231.30609999998345,1
207844,1,1,5,air,T.bmp,match,air,T.bmp,m,200.976399999945,1
207844,1,1,6,air,T.bmp,mismatch,earth,T.bmp,m,204.55539999966277,0
207844,1,1,7,air,T.bmp,mismatch,earth,C.bmp,m,211.68370000032155,0
207844,1,1,8,air,T.bmp,mismatch,earth,T.bmp,m,195.96799999999348,0
207844,1,1,9,air,T.bmp,mismatch,sky,S.bmp,m,243.86440000034779,0
207844,1,1,10,air,T.bmp,match,air,T.bmp,m,215.2249999999185,1
207844,1,1,11,air,T.bmp,match,air,T.bmp,m,198.82270000016433,1
207844,1,1,12,air,T.bmp,match,air,T.bmp,m,179.79000000013912,1
207844,1,1,13,air,T.bmp,mismatch,earth,C.bmp,m,207.66779999985377,0
207844,1,1,14,air,T.bmp,mismatch,sky,T.bmp,m,188.1797999999435,0
207844,1,1,15,air,T.bmp,mismatch,sky,T.bmp,m,186.79290000000037,0
207844,1,1,16,air,T.bmp,mismatch,air,C.bmp,m,194.4023000000925,0
207844,1,1,17,air,T.bmp,match,air,T.bmp,m,220.69710000005216,1
207844,1,1,18,air,T.bmp,match,air,T.bmp,m,184.20830000013663,1
207844,1,1,19,air,T.bmp,match,air,T.bmp,m,177.5937000002159,1
207844,1,1,20,air,T.bmp,match,air,T.bmp,m,188.18240000018704,1
207844,1,1,21,air,T.bmp,mismatch,earth,C.bmp,m,189.18200000007343,0
207844,1,1,22,air,T.bmp,match,air,T.bmp,m,214.3919999998616,1
207844,1,1,23,air,T.bmp,mismatch,sky,C.bmp,m,202.03259999971124,0
207844,1,1,24,air,T.bmp,mismatch,earth,C.bmp,m,193.77129999975296,0
207844,1,1,25,air,T.bmp,match,air,T.bmp,m,189.4827000000987,1
207844,1,1,26,air,T.bmp,mismatch,air,C.bmp,m,188.10369999982868,0
207844,1,1,27,air,T.bmp,match,air,T.bmp,m,204.3946999997388,1
207844,1,1,28,air,T.bmp,match,air,T.bmp,m,157.77040000011766,1
207844,1,1,29,air,T.bmp,mismatch,air,C.bmp,m,177.29180000014819,0
207844,1,1,30,air,T.bmp,mismatch,sky,S.bmp,m,208.20939999975965,0
207844,1,1,31,air,T.bmp,mismatch,sky,S.bmp,m,203.9028999997754,0
207844,1,1,32,air,T.bmp,mismatch,earth,C.bmp,m,181.900499999756,0
207844,1,1,33,air,T.bmp,match,air,T.bmp,m,193.7299000001076,1
207844,1,1,34,air,T.bmp,mismatch,sky,C.bmp,m,209.89159999999177,0
207844,1,1,35,air,T.bmp,mismatch,sky,S.bmp,m,182.03500000026904,0
207844,1,1,36,air,T.bmp,mismatch,air,S.bmp,m,196.85160000017277,0
207844,1,1,37,air,T.bmp,mismatch,sky,T.bmp,m,190.98559999974896,0
207844,1,1,38,air,T.bmp,mismatch,air,S.bmp,m,161.23620000007577,0
207844,1,1,39,air,T.bmp,mismatch,earth,T.bmp,m,191.4718000002722,0
207844,1,1,40,air,T.bmp,mismatch,sky,T.bmp,m,60.38950000038312,0
207844,1,1,41,air,T.bmp,mismatch,sky,S.bmp,m,91.07449999964956,0
207844,1,1,42,air,T.bmp,match,air,T.bmp,m,106.43949999985124,1
207844,1,1,43,air,T.bmp,mismatch,earth,T.bmp,m,57.82189999990805,0
207844,1,1,44,air,T.bmp,match,air,T.bmp,m,64.81340000027558,1
207844,1,1,45,air,T.bmp,match,air,T.bmp,m,48.3328000000256,1
207844,1,1,46,air,T.bmp,mismatch,sky,C.bmp,m,48.76560000002428,0
