blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choose_match_pair.started,choose_match_pair.stopped,trial_list.started,trial_list.stopped,learn_me.started,text_2.started,text.started,image.started,dismiss_learn.started,learn_me.stopped,dismiss_learn.keys,dismiss_learn.rt,dismiss_learn.duration,fix_cross.started,text_4.started,fix_cross.stopped,choose_mismatch_pair.started,match_label,match_shape,mismatch_label,mismatch_shape,choose_mismatch_pair.stopped,choose_trial_type.started,trial_type,trial_index,trial_label,trial_shape,choose_trial_type.stopped,put.started,put_label.started,put_shape.started,trial_response.started,put.stopped,trial_response.keys,trial_response.rt,trial_response.duration,eval.started,acc,eval.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.015488699998968514,0.015888299998550792,0.01590119999855233,0.0161720999985846,0.01618429999871296,0.04898959999991348,0.04898959999991348,0.04898959999991348,0.04898959999991348,2.4330440999983693,space,2.374089900000399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,0,0,0,0,2.9644141999997373,,,,,,,,,,,,,,,2.433669899999586,2.4560633999990387,2.949510599999485,2.9509460999997827,happy,X.bmp,sad,R.bmp,2.951261099999101,2.9512750999983837,mismatch,0,sad,R.bmp,2.9515390999986266,2.9515526999985013,2.9644141999997373,2.9644141999997373,2.9644141999997373,4.5348344999983965,n,1.5545890999983385,None,4.535651599999255,1,4.5359138999992865,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,1,0,1,0,4.5513475999996444,,,,,,,,,,,,,,,,,,4.536340999999084,happy,X.bmp,sad,H.bmp,4.5366126999997505,4.536625099999583,mismatch,1,sad,H.bmp,4.536883599999783,4.536895799999911,4.5513475999996444,4.5513475999996444,4.5513475999996444,5.235643299998628,m,0.6803053000003274,None,5.236269499999253,0,5.236537899998439,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,2,0,2,0,5.252158799999961,,,,,,,,,,,,,,,,,,5.236969899999167,happy,X.bmp,neutral,X.bmp,5.237242199998946,5.237254599998778,mismatch,2,neutral,X.bmp,5.237516599998344,5.23752869999953,5.252158799999961,5.252158799999961,5.252158799999961,5.836185599999226,n,0.5793707000011636,None,5.836797099998876,1,5.83705639999971,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,3,0,3,0,5.852629399998477,,,,,,,,,,,,,,,,,,5.837486899999931,happy,X.bmp,sad,H.bmp,5.837769599998865,5.837781899999754,mismatch,3,sad,H.bmp,5.838041999999405,5.838054099998772,5.852629399998477,5.852629399998477,5.852629399998477,6.369930699998804,m,0.5070279999999912,None,6.370518299998366,0,6.370785399998567,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,4,0,4,0,6.386416699999245,,,,,,,,,,,,,,,,,,6.371200300000055,happy,X.bmp,sad,H.bmp,6.3714727999995375,6.371485099998608,match,4,happy,X.bmp,6.371749299998555,6.371761399999741,6.386416699999245,6.386416699999245,6.386416699999245,6.870551599999089,n,0.47742029999972146,None,6.871158299998569,0,6.871422399999574,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,5,0,5,0,6.886920999999347,,,,,,,,,,,,,,,,,,6.871854399998483,happy,X.bmp,happy,H.bmp,6.87213569999949,6.872148299999026,mismatch,5,happy,H.bmp,6.872411099999226,6.8724234999990585,6.886920999999347,6.886920999999347,6.886920999999347,7.487671899998531,m,0.584320599999046,None,7.488259099998686,0,7.488514799999393,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,6,0,6,0,7.5040961999984575,,,,,,,,,,,,,,,,,,7.488925699999527,happy,X.bmp,neutral,R.bmp,7.48919979999846,7.489212399999815,mismatch,6,neutral,R.bmp,7.489470799999253,7.489483499999551,7.5040961999984575,7.5040961999984575,7.5040961999984575,8.00489369999923,n,0.4872713999993721,None,8.005608599998595,1,8.005962299999737,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,7,0,7,0,8.02132409999831,,,,,,,,,,,,,,,,,,8.006468399998994,happy,X.bmp,sad,X.bmp,8.006782299999031,8.006795799999963,match,7,happy,X.bmp,8.007062499998938,8.007075299999997,8.02132409999831,8.02132409999831,8.02132409999831,9.87319369999932,m,1.842371099999582,None,9.873783699998967,1,9.874037499999758,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
0,0,0,0,8,0,8,0,9.889708099999552,,,,,,,,,,,,,,,,,,9.874452099998962,happy,X.bmp,neutral,H.bmp,9.874719799998275,9.874732699998276,mismatch,8,neutral,H.bmp,9.874987499999406,9.875000399999408,9.889708099999552,9.889708099999552,9.889708099999552,10.573803299999781,m,0.6775570999998308,None,10.574392699998498,0,10.574643499998274,782911,001,2023-11-21_15h47.19.510,ala,2023.2.3,59.983936301744826,2023-11-21 15h47.25.163880 +0000,
