tasks_loop.thisRepN,tasks_loop.thisTrialN,tasks_loop.thisN,tasks_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,define_tasks.started,define_tasks.stopped,parameters.started,parameters.stopped,select_task_and_match_pairs.started,select_task_and_match_pairs.stopped,show_match_pairs.started,instructions.started,key_resp.started,match1label.started,match2label.started,match3label.started,match1shape.started,match2shape.started,match3shape.started,show_match_pairs.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_block_count.started,init_block_count.stopped,increment_block_count.started,increment_block_count.stopped,define_trial_list.started,define_trial_list.stopped,decide_what_pair.started,decide_what_pair.stopped,fix.started,fixn.started,fixn.stopped,fix.stopped,show_a_pair.started,text_2.started,put_label.started,put_shape.started,response.started,show_a_pair.stopped,response.keys,response.rt,response.duration,eval.started,eval.stopped,feedback.started,text_4.started,text_4.stopped,feedback.stopped,write.started,task,block_count,match_1_label,match_1_shape,match_2_label,match_2_shape,match_3_label,match_3_shape,trial_index,trial_type,label,shape,response,rt,acc,write.stopped,rest.started,text.started,key_resp_2.started,rest.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,the_end.started,text_3.started,the_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,2.21199069999966,,0.013623400000142283,0.013978199999655772,0.01399070000024949,0.014197100000274077,0.014712000000145053,0.014871999999741092,0.014880699999594071,0.06824969999979658,0.06824969999979658,0.06824969999979658,0.06824969999979658,0.06824969999979658,0.06824969999979658,0.06824969999979658,0.06824969999979658,2.1980956999996124,space,2.125773699999627,None,2.1987277999996877,2.199137999999948,2.1997897999999623,2.20016779999969,2.2001859000001787,2.200628300000062,2.2013582999998107,2.201734899999792,2.201753800000006,2.21199069999966,2.411608499999602,2.3961749000000054,2.3962062000000515,2.411608499999602,2.411608499999602,2.411608499999602,2.411608499999602,2.7787435999998706,m,0.3576239000003625,None,2.779633400000421,2.780044000000089,2.7800681999997323,2.7941178999999465,3.0461627000004228,3.0303608000003806,3.030433699999776,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,0,match1,£0,P.bmp,m,0.3576239000003625,1,3.0315394999997807,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,1,0,1,0,3.0461627000004228,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0329099999999016,3.033898399999998,3.0339529000002585,3.0461627000004228,,3.2441976999998587,3.2442166000000725,3.2609003999996276,3.2609003999996276,3.2609003999996276,3.2609003999996276,3.461842499999875,n,0.18654370000058407,None,3.462638199999674,3.463165199999821,3.463190399999803,3.4932807000004686,,3.726499700000204,3.726520100000016,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,1,match2,£100,O.bmp,n,0.18654370000058407,0,3.7272349000004397,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,2,0,2,0,3.7429613000003883,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7279230000003736,3.728521600000022,3.7285469999997076,3.7429613000003883,3.9433912000004057,3.9276269000001776,3.9276529999997365,3.9433912000004057,3.9433912000004057,3.9433912000004057,3.9433912000004057,4.061742300000333,m,0.10392630000023928,None,4.062729500000387,4.0634062999997695,4.063437900000281,4.0769438999996055,4.326297999999952,4.310646400000223,4.310673400000269,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,2,mismatch,£0,O.bmp,m,0.10392630000023928,0,4.311236999999892,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,3,0,3,0,4.326297999999952,,,,,,,,,,,,,,,,,,,,,,,,,,,4.311935100000483,4.312454099999741,4.31247970000004,4.326297999999952,4.5263459999996485,4.510280700000294,4.51031090000015,4.5263459999996485,4.5263459999996485,4.5263459999996485,4.5263459999996485,4.726309599999695,n,0.1958481000001484,None,4.726984199999606,4.7274092999996356,4.727438699999766,4.741632100000061,4.993320700000368,4.976508800000374,4.976541600000019,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,3,match3,£50,D.bmp,n,0.1958481000001484,0,4.977343000000474,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,4,0,4,0,4.993320700000368,,,,,,,,,,,,,,,,,,,,,,,,,,,4.978255900000477,4.978901700000279,4.978935899999669,4.993320700000368,,5.191915600000357,5.191939700000148,5.209063000000242,5.209063000000242,5.209063000000242,5.209063000000242,5.309755799999948,n,0.09059780000006867,None,5.310652199999822,5.311549300000479,5.311578599999848,5.325177200000326,5.574989200000346,5.559449000000313,5.559487000000445,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,4,mismatch,£50,O.bmp,n,0.09059780000006867,1,5.560295399999632,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,5,0,5,0,5.574989200000346,,,,,,,,,,,,,,,,,,,,,,,,,,,5.561392200000228,5.5622229999999035,5.562281900000016,5.574989200000346,5.791143299999931,5.7604536999997435,5.760502400000405,5.791143299999931,5.791143299999931,5.791143299999931,5.791143299999931,5.810720299999957,n,0.016977199999928416,None,5.811800499999663,5.812621600000057,5.812656099999913,5.823997899999995,6.073855900000126,6.05870380000033,6.058742299999722,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,5,mismatch,£0,D.bmp,n,0.016977199999928416,1,6.059479399999873,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,6,0,6,0,6.073855900000126,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06045180000001,6.061167099999693,6.0612065000004804,6.073855900000126,6.289418399999704,6.2588345000003756,6.25887160000002,6.289418399999704,6.289418399999704,6.289418399999704,6.289418399999704,6.32428710000022,n,0.029029199999968114,None,6.324951900000087,6.325445700000273,6.325475499999811,6.3396216000001,6.589194099999986,6.574398099999598,6.574430700000448,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,6,match3,£50,D.bmp,n,0.029029199999968114,0,6.5751993000003495,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,7,0,7,0,6.589194099999986,,,,,,,,,,,,,,,,,,,,,,,,,,,6.576127899999847,6.576839800000016,6.576887400000487,6.589194099999986,6.788984900000287,6.773463100000299,6.773483500000111,6.788984900000287,6.788984900000287,6.788984900000287,6.788984900000287,6.972887599999922,n,0.17589769999995042,None,6.973468899999716,6.9738313999996535,6.973849799999698,6.9887165999998615,7.239459800000077,7.223768400000154,7.223803800000496,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,7,match3,£50,D.bmp,n,0.17589769999995042,0,7.22461420000036,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,8,0,8,0,7.239459800000077,,,,,,,,,,,,,,,,,,,,,,,,,,,7.225615000000289,7.2264586999999665,7.226496399999633,7.239459800000077,7.439212899999802,7.4230162000003475,7.423045499999716,7.439212899999802,7.439212899999802,7.439212899999802,7.439212899999802,7.507579199999782,n,0.060130199999548495,None,7.508560299999772,7.509245000000192,7.509276699999646,7.52159440000014,7.771644700000252,7.7569038999999975,7.7569384999997055,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,8,mismatch,£50,O.bmp,n,0.060130199999548495,1,7.757808500000465,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
0,0,0,0,0,0,0,0,9,0,9,0,7.771644700000252,,,,,,,,,,,,,,,,,,,,,,,,,,,7.758812400000352,7.759587000000465,7.759624799999983,7.771644700000252,7.9878881000004185,7.956804700000248,7.956861499999832,7.9878881000004185,7.9878881000004185,7.9878881000004185,7.9878881000004185,8.089446199999657,n,0.0897503999995024,None,8.090277299999798,8.09082109999963,8.090848499999993,8.104207700000188,8.353524600000128,8.338189099999909,8.338212200000271,reward,1,£0,P.bmp,£100,O.bmp,£50,D.bmp,9,mismatch,£100,P.bmp,n,0.0897503999995024,1,8.338829199999964,,,,,,,,,,,924528,001,2023-12-06_22h25.27.159,ala-gemma-3-pairs,2023.2.3,59.57806812166584,2023-12-06 22h25.33.130955 +0000,
